Space,Ceiling_Height,Label
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,1
Storage,1.48,1
Storage,1.48,1
Storage,1.48,1
Storage,1.48,1
Storage,1.48,1
Storage,1.48,2
Storage,1.48,2
Storage,1.48,2
Storage,1.48,2
Storage,1.48,2
Storage,1.48,2
Storage,1.48,3
Storage,1.48,3
Storage,1.8,0
Storage,1.8,0
Storage,1.8,0
Storage,1.8,0
Storage,1.8,0
Storage,1.8,0
Storage,1.8,0
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,1
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,2
Storage,1.8,3
Storage,1.8,3
Storage,1.8,3
Storage,1.8,3
Storage,1.8,3
Storage,1.8,3
Storage,1.8,3
Storage,1.8,3
Storage,2.1,0
Storage,2.1,0
Storage,2.1,0
Storage,2.1,0
Storage,2.1,0
Storage,2.1,0
Storage,2.1,0
Storage,2.1,0
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,1
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,2
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
Storage,2.1,3
